# s_m, x_opt_m, y_opt_m, d_opt_m, x_left_m, y_left_m, d_left_m, x_right_m, y_right_m, d_right_m, v_opt_mps, v_left_mps, v_right_mps, kappa_opt_radpm, kappa_left_radpm, kappa_right_radpm, psi_opt_rad, psi_left_rad, psi_right_rad, ax_opt_mps2, ax_left_mps2, ax_right_mps2
9.795889,7.174383,1.240855,0.000000,7.948511,1.429871,0.795732,6.987890,1.152008,-0.204204,4.536551,4.881416,4.177776,0.308646,0.279018,0.390077,1.863726,1.853596,1.853228,0.927251,0.412364,0.611749
9.895847,7.144047,1.336100,0.000000,7.914923,1.539725,0.795606,6.963167,1.232869,-0.204323,4.556936,4.891111,4.190139,0.308100,0.278426,0.388872,1.894549,1.884301,1.883841,0.866102,0.393072,0.584641
9.995806,7.110796,1.430357,0.000000,7.837719,1.756372,0.794892,6.906419,1.392120,-0.204941,4.575895,4.909111,4.213161,0.307649,0.277430,0.386497,1.925322,1.946031,1.945352,0.807687,0.354516,0.536932
10.095764,7.074660,1.523552,0.000000,7.794165,1.862890,0.794289,6.874470,1.470255,-0.205545,4.593505,4.917415,4.223905,0.307453,0.277011,0.385276,1.956062,1.977122,1.976342,0.748028,0.335635,0.516985
10.195722,7.035676,1.615595,0.000000,7.747283,1.968177,0.793397,6.840144,1.547348,-0.206435,4.609753,4.925275,4.234221,0.307543,0.276637,0.383962,1.986798,2.008373,2.007459,0.686294,0.317165,0.500680
10.295680,6.993883,1.706392,0.000000,7.697184,2.071930,0.792202,6.803532,1.623168,-0.207625,4.624611,4.932689,4.244165,0.307939,0.276294,0.382553,2.017557,2.039827,2.038780,0.622096,0.299491,0.487895
10.395638,6.949315,1.795861,0.000000,7.643782,2.174256,0.790686,6.764593,1.697783,-0.209132,4.638038,4.939692,4.253830,0.308682,0.275946,0.380968,2.048372,2.071479,2.070261,0.554482,0.283458,0.479846
10.495596,6.902005,1.883916,0.000000,7.587162,2.274920,0.788835,6.723408,1.771007,-0.210972,4.649973,4.946315,4.263296,0.309452,0.275569,0.379167,2.079268,2.103402,2.101949,0.491373,0.269607,0.477044
10.595554,6.851998,1.970461,0.000000,7.527323,2.373853,0.786632,6.679997,1.842781,-0.213160,4.660523,4.952613,4.272672,0.310482,0.275145,0.377107,2.110249,2.135620,2.133904,0.426786,0.258312,0.480000
10.695512,6.799328,2.055413,0.000000,7.464241,2.471010,0.784056,6.634366,1.913060,-0.215716,4.669668,4.958651,4.282075,0.311756,0.274622,0.374779,2.141347,2.168216,2.166275,0.361207,0.250765,0.488468
10.795470,6.744033,2.138688,0.000000,7.398052,2.566106,0.781093,6.586641,1.981630,-0.218655,4.677394,4.964507,4.291594,0.313239,0.273947,0.372176,2.172583,2.201295,2.199151,0.295564,0.248200,0.502323
10.895428,6.686167,2.220177,0.000000,7.328637,2.659230,0.777719,6.536763,2.048545,-0.221999,4.683706,4.970311,4.301352,0.315092,0.273074,0.369277,2.203981,2.234750,2.232476,0.225927,0.251469,0.521602
10.995386,6.625748,2.299826,0.000000,7.180531,2.838668,0.769048,6.430933,2.176775,-0.229238,4.688525,4.982281,4.321934,0.317062,0.270680,0.362640,2.235579,2.302609,2.300543,0.158908,0.275345,0.574472
11.095344,6.562847,2.377504,0.000000,7.101811,2.924844,0.764581,6.375010,2.237996,-0.233587,4.691912,4.988728,4.332941,0.319396,0.269125,0.358899,2.267385,2.336793,2.335062,0.088271,0.295982,0.607653
11.195302,6.497501,2.453132,0.000000,7.020133,3.008366,0.759632,6.317290,2.297021,-0.238399,4.693792,4.995654,4.344504,0.321686,0.267340,0.354856,2.299435,2.371044,2.369781,0.024470,0.321680,0.645638
11.295260,6.429743,2.526635,0.000000,6.935291,3.089324,0.754141,6.257698,2.353888,-0.243720,4.694313,5.003200,4.356728,0.323501,0.265310,0.350514,2.331683,2.405257,2.404563,-0.022337,0.350687,0.688107
11.395218,6.359671,2.597882,0.000000,6.847435,3.167435,0.748071,6.196484,2.408315,-0.249575,4.693837,5.011433,4.369646,0.325644,0.263040,0.345864,2.364117,2.439369,2.439335,-0.049150,0.381793,0.735307
