# x_m, y_m, v_mps
-6.027,2.914,7.163
-6.072,2.922,7.170
-6.118,2.930,7.180
-6.165,2.938,7.194
-6.211,2.947,7.211
-6.258,2.956,7.228
-6.304,2.965,7.245
-6.351,2.975,7.262
-6.398,2.985,7.279
-6.445,2.995,7.297
-6.493,3.005,7.314
-6.540,3.015,7.331
-6.588,3.026,7.348
-6.636,3.037,7.365
-6.684,3.048,7.335
-6.733,3.059,7.273
-6.781,3.070,7.209
-6.830,3.081,7.149
-6.879,3.092,7.091
-6.928,3.103,7.035
-6.978,3.114,6.982
-7.028,3.125,6.932
-7.078,3.136,6.883
-7.128,3.147,6.837
-7.179,3.158,6.793
-7.230,3.169,6.751
-7.281,3.179,6.712
-7.332,3.189,6.674
-7.384,3.199,6.638
-7.436,3.209,6.604
-7.488,3.218,6.572
-7.541,3.227,6.542
-7.594,3.236,6.514
-7.647,3.244,6.488
-7.700,3.252,6.463
-7.754,3.259,6.441
-7.808,3.266,6.420
-7.863,3.272,6.401
-7.917,3.278,6.384
-7.972,3.283,6.368
-8.028,3.288,6.355
-8.083,3.292,6.344
-8.139,3.295,6.334
-8.195,3.297,6.327
-8.252,3.299,6.322
-8.308,3.299,6.319
-8.365,3.299,6.318
-8.423,3.298,6.317
-8.480,3.296,6.316
-8.538,3.293,6.315
-8.595,3.289,6.315
-8.653,3.284,6.314
-8.712,3.278,6.313
-8.770,3.271,6.312
-8.828,3.262,6.311
-8.887,3.253,6.310
-8.946,3.242,6.310
-9.004,3.229,6.309
-9.063,3.216,6.308
-9.122,3.200,6.307
-9.180,3.184,6.306
-9.238,3.166,6.305
-9.297,3.146,6.304
-9.355,3.124,6.304
-9.412,3.101,6.303
-9.470,3.077,6.302
-9.527,3.050,6.301
-9.583,3.022,6.300
-9.639,2.992,6.299
-9.694,2.960,6.298
-9.749,2.926,6.297
-9.802,2.891,6.296
-9.855,2.854,6.296
-9.906,2.814,6.295
-9.956,2.774,6.294
-10.005,2.732,6.293
-10.052,2.688,6.292
-10.097,2.643,6.291
-10.141,2.597,6.290
-10.184,2.550,6.289
-10.225,2.501,6.288
-10.264,2.452,6.288
-10.302,2.402,6.287
-10.338,2.351,6.286
-10.372,2.299,6.285
-10.405,2.246,6.284
-10.437,2.193,6.283
-10.467,2.139,6.282
-10.496,2.084,6.281
-10.523,2.029,6.281
-10.548,1.973,6.280
-10.572,1.917,6.279
-10.595,1.860,6.278
-10.616,1.803,6.277
-10.636,1.746,6.276
-10.654,1.688,6.275
-10.671,1.630,6.275
-10.687,1.572,6.274
-10.701,1.513,6.273
-10.714,1.454,6.272
-10.726,1.396,6.271
-10.736,1.337,6.270
-10.745,1.278,6.270
-10.752,1.219,6.269
-10.759,1.159,6.268
-10.764,1.100,6.267
-10.768,1.041,6.266
-10.770,0.982,6.265
-10.772,0.923,6.265
-10.772,0.864,6.264
-10.771,0.805,6.263
-10.769,0.746,6.262
-10.766,0.688,6.261
-10.761,0.629,6.261
-10.756,0.571,6.260
-10.749,0.514,6.259
-10.742,0.456,6.258
-10.733,0.399,6.257
-10.724,0.342,6.256
-10.714,0.285,6.256
-10.702,0.229,6.255
-10.690,0.173,6.254
-10.677,0.117,6.253
-10.663,0.062,6.252
-10.648,0.007,6.252
-10.633,-0.048,6.251
-10.617,-0.102,6.250
-10.599,-0.156,6.249
-10.581,-0.210,6.249
-10.562,-0.264,6.248
-10.543,-0.317,6.247
-10.522,-0.371,6.246
-10.501,-0.423,6.245
-10.478,-0.476,6.245
-10.455,-0.528,6.244
-10.431,-0.580,6.243
-10.406,-0.631,6.242
-10.381,-0.683,6.241
-10.355,-0.733,6.241
-10.327,-0.783,6.240
-10.299,-0.833,6.239
-10.270,-0.883,6.238
-10.241,-0.932,6.237
